site;plot;canopy.cover;slope.steepness;tree.richness;location;x;y;tree.species;year;ID;initial.date;date.photo;days;days.fac;initial.mass;remain.mass;removal;deco.raw;deco.adj;deco.EN;deco.MN;deco.FR;deco.JC;rel.remain;remain;loss;prime.deco;fly.prob;ant.prob;both.prob;burried;no.flies;flies_Estimator;no.other;other_Estimator;no.ants;ants_Estimator
B;V20;0,66;29,1;8;0317;3;17;Elaeocarpus japonicus;2023;3;28.05.2023;03.06.2023;6;late;402;;0;5,25;5,25;5;6;5;5;0,292344143;118;284;fly;1;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;4;28.05.2023;30.05.2023;2;early;595;432;0;1,5;1,5;2;2;1;1;0,913524953;544;51;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;4;28.05.2023;03.06.2023;6;late;595;;0;6,5;6,5;7;7;5;7;0,122978724;73;522;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;5;28.05.2023;30.05.2023;2;early;465;373;0;2,25;2,25;3;2;2;2;0,846727117;394;71;fly;1;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;5;28.05.2023;03.06.2023;6;late;465;;0;5;5;5;6;5;4;0,338961067;158;307;fly;1;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;6;28.05.2023;30.05.2023;2;early;489;519;0;1,5;1,5;2;2;1;1;0,913524953;447;42;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0514;5;14;Elaeocarpus glabripetalus;2023;6;28.05.2023;03.06.2023;6;late;489;;0;6,5;6,5;6;7;6;7;0,122978724;60;429;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;7;28.05.2023;30.05.2023;2;early;482;463;0;2,25;2,25;3;2;2;2;0,846727117;408;74;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;7;28.05.2023;03.06.2023;6;late;482;;0;5,333333333;5,333333333;5;;4;7;0,277667916;134;348;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;8;28.05.2023;30.05.2023;2;early;466;458;0;1,25;1,25;2;1;1;1;0,929140013;433;33;fly;1;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;8;28.05.2023;03.06.2023;6;late;466;;0;4,25;4,25;5;4;5;3;0,495092336;231;235;fly;1;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;9;28.05.2023;30.05.2023;2;early;459;401;0;1,5;1,5;2;2;1;1;0,913524953;419;40;unknown;0;0;0;0;242;2,751866528;;;;
B;V20;0,66;29,1;8;0410;4;10;Elaeocarpus japonicus;2023;9;28.05.2023;03.06.2023;6;late;459;;0;6;6;7;6;5;6;0,177654142;82;377;unknown;0;0;0;0;242;2,751866528;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;1;28.05.2023;31.05.2023;3;early;448;;0;5,5;4,456314348;6;6;5;5;0,450668918;202;246;unknown;0;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;1;28.05.2023;03.06.2023;6;late;448;;0;6,75;6,75;7;7;6;7;0,101504495;45;403;unknown;0;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;2;28.05.2023;31.05.2023;3;early;465;;0;4,25;3,206314348;3;5;4;5;0,707345253;329;136;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;2;28.05.2023;03.06.2023;6;late;465;;0;6,75;6,75;7;7;6;7;0,101504495;47;418;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;3;28.05.2023;31.05.2023;3;early;445;;0;3,5;2,456314348;4;4;3;3;0,822126479;366;79;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0118;1;18;Machilus leptophylla;2023;3;28.05.2023;03.06.2023;6;late;445;;0;6,25;6,25;6;7;6;6;0,148246447;66;379;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;4;28.05.2023;31.05.2023;3;early;455;;0;5,5;4,456314348;6;6;5;5;0,450668918;205;250;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;4;28.05.2023;03.06.2023;6;late;455;;0;6,75;6,75;7;7;6;7;0,101504495;46;409;fly;1;0;0;0;417;2,080756378;;;;
B;V23;0,84;32,5;2;0313;3;13;Alniphyllum fortunei;2023;5;28.05.2023;31.05.2023;3;early;398;;0;5,5;4,456314348;6;6;5;5;0,450668918;179;219;unknown;0;0;0;0;417;2,080756378;;;;
